taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
188640	693997		Amatidae Janse, 1917	Janse, 1917	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae					family	heterotypicSynonym	2014-05-28		188640			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae
188641	693997		Euchromiidae Butler, 1876	Butler, 1876	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae					family	heterotypicSynonym	2014-05-28		188641			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae
188642	693997		Syntomidae		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae					family	heterotypicSynonym	2014-05-28		188642			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae
694170		693997	Arctiini Leach, 1815	Leach, 1815	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae					tribe	valid	2014-05-28		694170			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae
936983		694170	Arctiina Leach, 1815	Leach, 1815	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae					subtribe	valid	2014-05-28		936983			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae|Arctiini
937227		936983	Grammia Rambur, 1866	Rambur, 1866	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae					genus	valid	2014-05-28		937227			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae|Arctiini|Arctiina
938914		937227	Grammia virgo (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae	Grammia		virgo		species	valid	2014-05-28		938914			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae|Arctiini|Arctiina|Grammia
188653	938914		Apantesis virgo (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae	Apantesis		virgo		species	homotypicSynonym	2014-05-28		188653			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae|Arctiini|Arctiina|Grammia
941324		938914	Grammia virgo gigas Schmidt, 2009	Schmidt, 2009	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae	Grammia		virgo	gigas	subspecies	valid	2014-05-28		941324			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae|Arctiini|Arctiina|Grammia|Grammia virgo
941325		938914	Grammia virgo virgo (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuoidea	Erebidae	Grammia		virgo	virgo	subspecies	valid	2014-05-28		941325			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Noctuoidea|Erebidae|Arctiinae|Arctiini|Arctiina|Grammia|Grammia virgo
